Match_ID,Win_Club,Home_Goal,Away_Goal,Home_Goal_H1,Away_Goal_H1,Home_Goal_H2,Away_Goal_H2,Home_Shot,Away_Shot,Home_Shot_on_Target,Away_Shot_on_Target,Home_Fouls,Away_Fouls,Home_Corners,Away_Corners,Home_Yellow,Away_Yellow,Home_Red,Away_Red
1,Away,0,3,0,1,0,2,5,13,2,6,12,12,2,3,2,2,0,0
2,Home,1,0,1,0,0,0,5,9,3,5,14,11,7,3,2,1,0,0
3,Home,4,3,3,2,1,1,22,6,6,3,9,6,9,0,1,0,0,0
4,Away,0,2,0,0,0,2,15,15,3,2,13,7,8,7,2,2,0,0
5,Away,0,3,0,0,0,3,7,13,1,7,12,9,2,5,1,1,0,0
6,Away,0,1,0,0,0,1,9,15,5,4,15,7,5,3,1,0,0,0
7,Away,0,2,0,1,0,1,13,10,3,5,8,13,4,3,1,0,0,0
8,Away,1,3,0,2,1,1,9,11,2,4,13,7,12,5,2,1,0,0
9,Home,5,2,2,1,3,1,17,6,7,4,9,11,11,1,1,0,0,1
10,Home,4,3,2,1,2,2,10,14,7,6,13,18,5,3,1,2,0,0
11,Away,1,3,0,1,1,2,13,14,4,5,13,10,9,3,2,1,0,0
12,Home,2,1,1,1,1,0,7,14,3,3,11,13,7,5,0,1,0,0
13,Away,2,5,1,1,1,4,14,9,7,6,16,18,3,2,4,3,0,0
14,Away,0,3,0,2,0,1,6,13,0,6,16,15,7,1,3,0,0,1
15,Away,0,2,0,0,0,2,5,18,3,6,10,6,1,11,0,0,1,0
16,Home,4,2,1,1,3,1,14,16,6,5,11,13,15,4,1,2,0,0
17,Home,1,0,0,0,1,0,18,4,2,1,12,13,10,4,3,1,0,1
18,Away,1,3,0,2,1,1,10,14,1,9,6,8,4,6,0,3,0,0
19,Away,2,3,1,1,1,2,18,7,5,3,18,16,7,1,4,2,0,0
20,Away,1,2,1,2,0,0,8,10,1,5,16,15,7,6,3,1,0,0
21,Draw,3,3,3,0,0,3,9,22,3,10,8,16,3,9,1,3,0,0
22,Away,0,1,0,1,0,0,10,5,2,1,8,10,8,2,1,0,0,0
23,Away,0,1,0,0,0,1,14,17,4,9,18,4,5,7,2,1,0,0
24,Draw,1,1,1,0,0,1,23,6,12,1,15,9,10,4,1,4,0,0
25,Away,2,5,1,1,1,4,16,7,5,7,13,8,3,4,1,3,0,0
26,Home,4,0,1,0,3,0,15,11,7,2,7,11,1,3,0,1,0,0
27,Away,0,3,0,2,0,1,16,12,3,5,18,14,5,3,6,3,0,0
28,Home,3,1,2,1,1,0,21,4,8,3,11,7,7,3,2,2,0,0
29,Home,4,0,0,0,4,0,17,4,6,0,17,13,8,5,2,0,0,0
30,Home,4,2,2,1,2,1,11,11,6,3,13,14,3,10,0,1,0,0
31,Draw,1,1,0,1,1,0,12,23,7,2,11,12,7,10,2,1,0,0
32,Home,3,1,1,0,2,1,10,7,5,3,13,17,3,4,2,3,0,0
33,Away,0,3,0,2,0,1,4,14,0,6,11,8,6,4,2,2,0,0
34,Home,2,0,1,0,1,0,13,5,7,2,19,10,5,1,2,1,0,0
35,Home,2,1,0,0,2,1,6,6,5,2,3,9,2,4,0,1,0,0
36,Home,1,0,0,0,1,0,14,10,5,2,15,8,6,2,1,1,0,0
37,Away,1,6,1,4,0,2,5,22,2,8,14,10,2,4,2,1,1,0
38,Home,7,2,4,1,3,1,18,14,11,8,7,10,2,7,2,1,0,0
39,Draw,2,2,1,1,1,1,11,22,5,8,15,9,2,5,3,2,1,0
40,Draw,3,3,2,1,1,2,11,13,5,6,11,9,6,2,1,1,0,0
41,Home,1,0,1,0,0,0,13,11,5,3,15,10,6,6,4,1,0,0
42,Away,1,4,1,1,0,3,7,28,4,14,9,12,0,7,1,1,0,0
43,Draw,1,1,0,0,1,1,10,15,6,6,5,9,2,5,0,2,0,0
44,Draw,1,1,1,0,0,1,1,20,1,3,13,12,2,5,3,2,0,1
45,Draw,3,3,3,0,0,3,11,13,6,4,13,12,3,7,0,5,0,0
46,Away,0,1,0,0,0,1,11,10,5,4,18,18,2,7,4,3,0,0
47,Draw,0,0,0,0,0,0,13,9,6,4,15,17,8,2,2,2,0,0
48,Away,0,1,0,0,0,1,13,7,2,3,13,12,8,3,2,1,0,0
49,Away,0,3,0,0,0,3,12,27,4,9,14,17,6,5,2,2,0,0
50,Draw,1,1,1,0,0,1,6,14,2,7,14,6,2,10,2,0,0,0
51,Away,1,2,0,1,1,1,16,14,3,10,11,11,4,4,0,1,1,0
52,Draw,0,0,0,0,0,0,14,6,4,1,8,6,9,6,3,1,0,0
53,Home,2,1,1,1,1,0,17,13,5,2,7,15,7,3,0,3,0,0
54,Home,2,0,2,0,0,0,12,6,6,2,11,11,4,5,1,2,0,1
55,Draw,1,1,0,0,1,1,16,5,3,2,10,10,2,3,0,1,0,0
56,Away,0,1,0,0,0,1,12,6,4,2,13,9,9,3,3,5,0,0
57,Draw,1,1,1,0,0,1,5,9,3,3,14,7,6,2,2,0,0,0
58,Away,0,1,0,0,0,1,13,9,4,3,9,7,4,5,2,0,0,0
59,Home,2,0,2,0,0,0,15,11,5,2,13,4,7,6,0,2,0,1
60,Away,0,1,0,1,0,0,5,16,1,8,14,6,2,5,0,0,0,0
61,Away,0,3,0,1,0,2,5,14,0,9,10,15,3,4,1,0,0,0
62,Home,2,1,1,1,1,0,9,4,5,3,13,14,1,2,0,1,0,0
63,Away,3,4,0,3,3,1,19,9,10,4,12,17,11,1,1,2,0,0
64,Home,2,1,0,0,2,1,11,15,4,4,9,10,5,4,2,4,0,0
65,Away,0,1,0,0,0,1,8,7,2,2,12,12,6,3,3,3,0,0
66,Home,2,1,1,0,1,1,9,6,3,2,14,13,4,5,2,1,0,0
67,Home,2,0,2,0,0,0,13,10,6,1,13,11,5,2,3,2,0,0
68,Away,1,4,0,2,1,2,11,10,4,8,9,5,10,3,1,1,0,0
69,Draw,0,0,0,0,0,0,19,4,3,1,11,5,5,3,1,0,0,0
70,Home,2,0,1,0,1,0,15,4,8,2,12,11,8,3,1,2,0,0
71,Away,1,3,1,2,0,1,7,13,1,5,12,19,5,2,4,2,0,0
72,Home,4,1,3,1,1,0,10,9,6,3,9,1,3,6,0,2,0,0
73,Home,4,1,2,1,2,0,20,6,9,3,5,14,6,7,0,2,0,0
74,Home,1,0,0,0,1,0,16,13,7,3,10,9,9,5,2,2,0,0
75,Away,0,1,0,0,0,1,12,19,2,5,17,12,9,6,1,0,0,0
76,Home,1,0,1,0,0,0,10,7,3,2,12,8,6,3,2,3,0,0
77,Draw,1,1,1,1,0,0,7,10,2,3,19,11,1,2,3,1,0,0
78,Away,0,3,0,1,0,2,13,15,2,6,11,13,3,8,0,0,0,0
79,Away,0,2,0,1,0,1,8,14,1,3,11,12,7,4,2,0,0,0
80,Away,1,2,0,1,1,1,15,7,4,3,5,18,12,3,2,1,0,1
81,Home,2,0,1,0,1,0,4,22,2,5,13,19,0,10,2,2,0,0
82,Home,1,0,0,0,1,0,17,7,7,2,12,17,8,2,1,1,0,0
83,Away,2,3,1,3,1,0,14,9,6,7,14,10,2,5,2,0,0,0
84,Away,0,1,0,0,0,1,9,15,5,3,7,6,2,6,0,0,0,0
85,Draw,0,0,0,0,0,0,25,9,4,2,9,8,5,3,3,0,0,1
86,Home,3,0,2,0,1,0,24,11,13,4,15,6,10,3,0,2,0,0
87,Home,1,0,1,0,0,0,10,15,4,5,13,9,4,7,2,0,0,0
88,Draw,1,1,0,0,1,1,20,7,9,2,14,13,7,4,2,0,0,0
89,Away,0,2,0,0,0,2,12,14,3,7,9,10,7,3,2,2,0,0
90,Draw,1,1,0,0,1,1,11,6,3,2,9,13,4,3,2,1,0,0
91,Home,5,0,3,0,2,0,19,9,6,1,12,4,6,4,0,0,0,0
92,Away,0,1,0,0,0,1,15,23,8,7,8,14,4,2,1,2,0,0
93,Home,1,0,1,0,0,0,17,21,6,5,10,9,14,9,2,3,0,0
94,Away,2,3,2,0,0,3,10,15,5,6,12,12,5,9,1,0,0,0
95,Draw,0,0,0,0,0,0,13,5,3,1,20,9,3,3,4,2,0,0
96,Away,1,2,1,2,0,0,13,11,2,5,13,13,8,4,3,4,0,0
97,Away,1,2,0,2,1,0,16,10,3,5,9,21,6,5,0,2,0,0
98,Home,2,1,1,1,1,0,6,16,2,6,20,7,3,7,1,1,0,0
99,Draw,1,1,1,1,0,0,8,13,3,6,6,9,8,4,0,0,0,0
100,Home,2,0,2,0,0,0,16,6,6,1,7,6,9,3,0,0,0,0
101,Away,1,3,1,0,0,3,19,15,6,6,9,10,5,4,0,0,0,0
102,Home,3,1,1,1,2,0,23,8,11,3,12,9,8,4,0,2,0,0
103,Away,1,5,1,1,0,4,9,18,4,6,10,16,4,6,2,2,1,0
104,Away,1,2,1,1,0,1,4,13,1,4,13,6,6,5,1,3,0,0
105,Home,2,0,2,0,0,0,6,11,3,2,16,12,3,9,1,2,0,0
106,Home,4,0,1,0,3,0,11,9,6,3,8,14,4,6,1,1,0,0
107,Away,1,2,1,1,0,1,12,10,4,3,12,12,4,3,3,3,0,0
108,Away,1,2,1,1,0,1,13,19,7,8,12,10,5,6,1,2,0,0
109,Away,0,1,0,0,0,1,16,13,7,2,23,15,5,8,2,5,0,0
110,Home,2,1,1,0,1,1,12,13,7,3,9,12,4,3,2,3,0,0
111,Draw,0,0,0,0,0,0,11,9,2,2,13,6,4,3,1,1,0,0
112,Home,1,0,1,0,0,0,9,10,4,3,10,11,6,6,2,3,0,0
113,Home,3,0,1,0,2,0,16,3,6,0,8,14,8,4,0,1,0,0
114,Draw,1,1,0,1,1,0,16,14,5,6,15,11,4,7,1,1,0,0
115,Draw,1,1,1,0,0,1,10,12,5,6,9,5,6,8,3,1,0,0
116,Away,0,1,0,0,0,1,18,10,6,2,5,11,13,4,2,1,1,0
117,Home,3,0,3,0,0,0,15,12,6,4,9,11,9,5,2,1,0,0
118,Home,2,1,0,0,2,1,12,13,4,3,12,12,5,6,2,2,0,0
119,Draw,1,1,1,1,0,0,26,5,7,1,5,8,13,2,2,3,0,0
120,Draw,1,1,0,1,1,0,9,13,4,3,13,13,2,7,1,3,1,0
121,Home,5,2,1,1,4,1,25,10,10,4,10,13,7,4,3,1,0,0
122,Away,0,2,0,1,0,1,14,11,2,6,12,9,4,6,2,3,0,0
123,Draw,0,0,0,0,0,0,9,9,4,4,15,11,1,8,1,0,0,0
124,Home,1,1,1,1,0,0,17,8,11,2,8,9,7,4,0,2,0,0
125,Draw,2,1,0,1,2,0,9,8,2,2,8,12,5,3,0,1,0,1
126,Draw,0,0,0,0,0,0,27,6,7,4,17,19,11,1,1,1,0,0
127,Away,2,3,1,2,1,1,12,14,6,8,17,8,6,3,3,2,0,0
128,Away,0,7,0,3,0,4,5,14,3,8,5,11,5,4,1,0,0,0
129,Away,0,1,0,1,0,0,9,11,3,5,9,11,6,6,2,2,0,0
130,Home,2,1,2,1,0,0,9,13,2,2,9,9,4,3,1,3,0,0
131,Draw,1,1,0,1,1,0,12,11,5,4,7,17,2,9,1,2,0,1
132,Draw,1,1,0,0,1,1,21,5,5,3,9,11,14,2,1,5,0,1
133,Away,0,2,0,1,0,1,8,17,3,4,15,14,5,3,2,2,0,0
134,Home,6,2,4,1,2,1,26,17,14,3,6,6,11,13,1,0,0,0
135,Away,0,3,0,1,0,2,1,19,1,10,14,8,1,7,1,2,1,0
136,Home,2,1,1,0,1,1,10,15,4,3,11,15,1,7,2,1,0,0
137,Home,3,0,1,0,2,0,11,6,7,0,11,6,5,4,0,0,0,0
138,Draw,2,2,1,1,1,1,10,9,2,4,10,17,5,0,2,1,0,0
139,Home,3,0,1,0,2,0,21,13,10,6,18,16,4,4,1,4,1,0
140,Draw,0,0,0,0,0,0,10,3,1,2,15,12,6,3,2,0,0,0
